hour,day,month,dayofweek,gen_lag_1,gen_lag_24
2,12,1,1,0.0,0.0
3,12,1,1,0.0,0.0
4,12,1,1,0.0,0.0
5,12,1,1,0.0,0.0
6,12,1,1,0.0,30.0
7,12,1,1,28.0,585.0
8,12,1,1,1027.0,1418.0
9,12,1,1,3005.0,2338.0
10,12,1,1,5458.0,2583.0
11,12,1,1,6764.0,3178.0
12,12,1,1,6794.0,2535.0
13,12,1,1,6397.0,1772.0
14,12,1,1,4377.0,1004.0
15,12,1,1,2253.0,214.0
16,12,1,1,369.0,29.0
17,12,1,1,29.0,29.0
18,12,1,1,29.0,29.0
19,12,1,1,29.0,29.0
20,12,1,1,29.0,29.0
21,12,1,1,29.0,29.0
22,12,1,1,29.0,29.0
23,12,1,1,29.0,0.0
0,13,1,2,0.0,0.0
1,13,1,2,0.0,0.0
2,13,1,2,0.0,0.0
3,13,1,2,0.0,0.0
4,13,1,2,0.0,0.0
5,13,1,2,0.0,0.0
6,13,1,2,0.0,28.0
7,13,1,2,38.0,1027.0
8,13,1,2,1170.0,3005.0
9,13,1,2,3487.0,5458.0
10,13,1,2,6037.0,6764.0
11,13,1,2,7039.0,6794.0
12,13,1,2,7500.0,6397.0
13,13,1,2,6644.0,4377.0
14,13,1,2,5134.0,2253.0
15,13,1,2,2306.0,369.0
16,13,1,2,430.0,29.0
17,13,1,2,29.0,29.0
18,13,1,2,29.0,29.0
19,13,1,2,29.0,29.0
20,13,1,2,29.0,29.0
21,13,1,2,29.0,29.0
22,13,1,2,29.0,29.0
23,13,1,2,29.0,0.0
0,14,1,3,0.0,0.0
1,14,1,3,0.0,0.0
2,14,1,3,0.0,0.0
3,14,1,3,0.0,0.0
4,14,1,3,0.0,0.0
5,14,1,3,0.0,0.0
6,14,1,3,0.0,38.0
7,14,1,3,43.0,1170.0
8,14,1,3,925.0,3487.0
9,14,1,3,1958.0,6037.0
10,14,1,3,2899.0,7039.0
11,14,1,3,3120.0,7500.0
12,14,1,3,3200.0,6644.0
13,14,1,3,2590.0,5134.0
14,14,1,3,1680.0,2306.0
15,14,1,3,784.0,430.0
16,14,1,3,161.0,29.0
17,14,1,3,29.0,29.0
18,14,1,3,29.0,29.0
19,14,1,3,29.0,29.0
20,14,1,3,29.0,29.0
21,14,1,3,29.0,29.0
22,14,1,3,29.0,29.0
23,14,1,3,29.0,0.0
0,15,1,4,0.0,0.0
1,15,1,4,0.0,0.0
2,15,1,4,0.0,0.0
3,15,1,4,0.0,0.0
4,15,1,4,0.0,0.0
5,15,1,4,0.0,0.0
6,15,1,4,0.0,43.0
7,15,1,4,3.0,925.0
8,15,1,4,423.0,1958.0
9,15,1,4,1598.0,2899.0
10,15,1,4,3930.0,3120.0
11,15,1,4,4860.0,3200.0
12,15,1,4,5317.0,2590.0
13,15,1,4,4947.0,1680.0
14,15,1,4,3884.0,784.0
15,15,1,4,1821.0,161.0
16,15,1,4,346.0,29.0
17,15,1,4,29.0,29.0
18,15,1,4,29.0,29.0
19,15,1,4,29.0,29.0
20,15,1,4,29.0,29.0
21,15,1,4,29.0,29.0
22,15,1,4,29.0,29.0
23,15,1,4,29.0,0.0
0,16,1,5,0.0,0.0
